ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,1,0,2,5,475,5,0.228888889,1,1452,29.75814288,731,1,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,5,6.287894366,097d9b73d26fe9fa7cd07682897ed8ee72930bdc
0,2,2,2,0.721928095,18,2,882.5,37,0.445630787,2,1451,28.76130163,804.5,2,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1,5,4.868762488,64b2e069172d3b2c542956ffb47435157a12b345
0,1,1,1,0,6,2,266,8,251.2659491,1,1450,27.7613443,441,1,0,0,0,0,1,0,0,0,0,2,0,2,2,1,1,5,3.957726598,08b142e62771710abd09bc8eabd06bf98fe0f8f9
0,1,1,1,0,5,2,472,5,29.05122685,1,1449,26.76140831,729,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,5,5.00111925,c04b49114da0e0f95618cc3a722b7ba10524cff3
1,2,2,3,1.5,4,4,883.3333333,50,10.28474151,3,1448,25.82209247,803,2,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,4,2.833165497,e7f4699912e0ffec8a53e1f29fb2185cc3783612
1,1,1,1,0,1,1,246,7,0.000787037,1,1447,24.82209247,727,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,4,7.517520851,5f308fa630d113b3f424896d6c3c2073be14d0d7
0,2,2,3,0.892995357,14,12,669.6666667,39,1.860420525,2,1446,23.8221333,801.5,2,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,4,5.184815712,0c71b0c7e184586d1fbb742f4fa674ba3a186608
0,1,1,1,0,2,2,41,5,14.81211806,1,1445,22.82313025,876,1,0,0,1,0,0,0,0,0,0,5,0,2,2,1,0,4,3.714817297,19790c64d5c80e92ee5044bb2c6f449204f667eb
0,1,1,1,0,6,2,357,11,0.328715278,1,1444,22.65695557,725,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,3,5.119625578,cca050cf35d5773f46a730cc9cf2afac20ee410b
0,1,1,2,0.985228136,4,3,679,39,0.035555556,2,1443,21.6602989,724,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,2,6.040581918,ee9621113edc21991b3d2ff8790e513ffdea7ea0
0,1,1,1,0,3,3,243,7,0.006597222,1,1442,20.66030941,723,1,0,0,0,0,1,0,0,0,0,4,1,2,2,1,0,2,4.979745857,6606fd7bcb496aced27661444e6412b23f1c4e48
1,1,1,1,0,5,3,241,7,0.008101852,1,1441,19.66036356,722,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,2,5.191699407,305fea39b35f78376369bfa9b1d3d3f96613f233
1,1,1,1,0,2,2,241,7,0.010023148,1,1440,18.66036356,721,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,2,5.555486173,9c0bcde4e032f9b11d6def2e9568769a0deeb6ff
0,2,2,2,0.491237342,11,17,448.5,7,0.023240741,1,1439,17.66038154,797.5,2,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,2,4.774884238,a09b84389e6ac8120e37bc9f93fa789f5394e0a7
0,2,2,3,1.348587896,9,2,668.3333333,39,71.12323688,3,1438,16.66056369,796.5,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,4.792957996,690d93e284a2bf605320af2138a0c6dfb8c11fac
0,2,2,2,0.286396957,20,0,492.5,11,82.68289352,2,1437,15.66327508,795.5,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,5.037387138,e20ac49685322b75606ed2055a1856aa90aef413
